client,desc,combined,service
A3 Communications,Misc MSI Opp,A3 Communications Misc MSI Opp,MSI
ABB,Modular data center partering,ABB Modular data center partering,Design
ABB,Qualifications Package,ABB Qualifications Package,Design / Commissioning
ACCUG,Fire Station #2 & Cooperative Extension Service Center,ACCUG Fire Station #2 & Cooperative Extension Service Center,Design
American Electric Power (AEP),"AEP Transmission Operations Center Cx – Corpus Christi, TX","American Electric Power (AEP) AEP Transmission Operations Center Cx – Corpus Christi, TX",Commissioning
American Electric Power (AEP),Dolan IT Building Cx - Groveport OH,American Electric Power (AEP) Dolan IT Building Cx - Groveport OH,Commissioning
American Electric Power (AEP),"Operating Procedures – Corpus Christi, TX","American Electric Power (AEP) Operating Procedures – Corpus Christi, TX","Other (Owner's Rep, Ops Support, etc.)"
American Electric Power (AEP),Training Services,American Electric Power (AEP) Training Services,"Other (Owner's Rep, Ops Support, etc.)"
AFLAC,Facility improvements,AFLAC Facility improvements,Design / Commissioning
Aligned Energy,Salt Lake,Aligned Energy Salt Lake,Design / Commissioning
Allison Smith Co,Lunch n Learn on Controls,Allison Smith Co Lunch n Learn on Controls,Design
Allison Smith Co,MSI Opportunities,Allison Smith Co MSI Opportunities,MSI
Amazon,Discovery,Amazon Discovery,Commissioning
Apple,TBD,Apple TBD,Design / Commissioning
Ascent,Blackberry data center,Ascent Blackberry data center,Design / Commissioning
AT&T,Potential work / intro through Beckerle,AT&T Potential work / intro through Beckerle,Design
Atlanta International School,Boiler Assessment,Atlanta International School Boiler Assessment,Audit
Atlanta International School,Water Source Heat Pump Design and Replacement Engineering Services,Atlanta International School Water Source Heat Pump Design and Replacement Engineering Services,Design
Atlanta Public Schools,Commissioning Services,Atlanta Public Schools Commissioning Services,Commissioning
Balfour Beatty,Compass Data Centers – Commissioning Services - New Albany,Balfour Beatty Compass Data Centers – Commissioning Services - New Albany,Commissioning
Balfour Beatty,Compass Data Centers – Commissioning Services - Shakopee,Balfour Beatty Compass Data Centers – Commissioning Services - Shakopee,Commissioning
Bank of America,Energy Star Recertification,Bank of America Energy Star Recertification,Audit
Bank of America,Energy Star Re-Certification ,Bank of America Energy Star Re-Certification ,Audit
Batson Cook,Northside Hospital - Cherokee Cx Services,Batson Cook Northside Hospital - Cherokee Cx Services,Commissioning
BDR Partners,Piedmont – Fayette Hospital Renovation Cx,BDR Partners Piedmont – Fayette Hospital Renovation Cx,Commissioning
Becica Associates LLC,NJ Schools Development Authority – Limited Scope Project ,Becica Associates LLC NJ Schools Development Authority – Limited Scope Project ,Design
"Beckerle Consultants, Inc.",Local architects in St. Louis,"Beckerle Consultants, Inc. Local architects in St. Louis",Design
Behar Font & Partners,"Grove City Village, Miami, FL","Behar Font & Partners Grove City Village, Miami, FL",Design
Behar Font & Partners,Potential new architect partner. ,Behar Font & Partners Potential new architect partner. ,Design
Bennett & Pless,Introduction to John Stance - RPA,Bennett & Pless Introduction to John Stance - RPA,Design
Bennett & Pless,Introduction to Mindy at HKS,Bennett & Pless Introduction to Mindy at HKS,Design
Bennett & Pless,QTS reciprocation opportunity ,Bennett & Pless QTS reciprocation opportunity ,Design
BJs,Warehouse generators,BJs Warehouse generators,Design
BKA, Savannah R-III School District,BKA  Savannah R-III School District,Design
BlackRock,50 Hudson Yards Cx,BlackRock 50 Hudson Yards Cx,Commissioning
Bluewater Energy Solutions Inc.,"Alexandria, LA Gen Station -  3rd Party Electrical Testing Services","Bluewater Energy Solutions Inc. Alexandria, LA Gen Station -  3rd Party Electrical Testing Services",Commissioning
Bluewater Energy Solutions Inc.,Bluewater - Garrison Delaware,Bluewater Energy Solutions Inc. Bluewater - Garrison Delaware,Commissioning
Bluewater Energy Solutions Inc.,Cane Run Generating Station ,Bluewater Energy Solutions Inc. Cane Run Generating Station ,Commissioning
Bluewater Energy Solutions Inc.,Eagle Valley IN Power Plant Testing,Bluewater Energy Solutions Inc. Eagle Valley IN Power Plant Testing,Commissioning
Bluewater Energy Solutions Inc.,Indeck Wharton Energy Center,Bluewater Energy Solutions Inc. Indeck Wharton Energy Center,Commissioning
